player_name,team,position,born,gp,g,a,p,shots,toi_seconds
Sean Durzi,LAK,D,1998,13,2,2,4,21,1138
Adam Larsson,SEA,D,1992,14,2,2,4,26,1510
Zack Kassian,EDM,F,1991,16,2,2,4,17,487
Ilya Mikheyev,TOT,F,1994,18,2,2,4,27,834
Jesse Puljujärvi,TOT,F,1998,23,2,2,4,34,628
Erik Cernak,TBL,D,1997,34,2,2,4,39,1141
David Krejcí,BOS,F,1986,4,1,3,4,6,1165
Gage Goncalves,TBL,F,2001,5,1,3,4,4,1014
Thomas Chabot,OTT,D,1997,6,1,3,4,11,1497
Kristopher Letang,PIT,D,1987,7,1,3,4,19,1791
Alexei Protas,WSH,F,2001,10,1,3,4,11,992
Adam Pelech,NYI,D,1994,11,1,3,4,13,1387
Mason Lohrei,BOS,D,2001,11,1,3,4,14,1031
Nick Foligno,BOS,F,1987,13,1,3,4,13,639
Justin Brazeau,TOT,F,1998,15,1,3,4,13,620
Jonas Brodin,MIN,D,1993,18,1,3,4,24,1469
Erik Gustafsson,TOT,D,1992,18,1,3,4,16,1035
Jimmy Vesey,NYR,F,1993,19,1,3,4,14,636
Trevor van Riemsdyk,WSH,D,1991,19,1,3,4,9,944
Lars Eller,TOT,F,1989,22,1,3,4,27,790
Jani Hakanpää,DAL,D,1992,22,1,3,4,25,1188
Hampus Lindholm,BOS,D,1994,24,1,3,4,28,1319
Brandon Tanev,TOT,F,1991,27,1,3,4,22,733
Scott Perunovich,STL,D,1998,7,0,4,4,2,649
Brenden Dillon,TOT,D,1990,9,0,4,4,8,1233
Anthony Mantha,TOT,F,1994,9,0,4,4,21,960
Nicklaus Perbix,TBL,D,1998,13,0,4,4,14,981
Colin Miller,TOT,D,1992,15,0,4,4,21,955
Mark Giordano,TOR,D,1983,18,0,4,4,24,1015
Nick Bjugstad,EDM,F,1992,12,3,0,3,16,814
Tyler Motte,TOT,F,1995,27,3,0,3,39,689
Marco Rossi,MIN,F,2001,6,2,1,3,9,667
Jake Muzzin,TOR,D,1989,7,2,1,3,8,1331
Michael Raffl,DAL,F,1988,7,2,1,3,8,959
Oscar Sundqvist,TOT,F,1994,8,2,1,3,9,898
Martin Fehervary,WSH,D,1999,10,2,1,3,9,1231
Pius Suter,VAN,F,1996,13,2,1,3,23,862
A.J. Greer,FLA,F,1996,16,2,1,3,12,458
Jonah Gadjovich,FLA,F,1998,16,2,1,3,10,456
Zach Parise,TOT,F,1984,17,2,1,3,30,882
Colin Blackwell,TOT,F,1993,18,2,1,3,23,572
Scott Mayfield,NYI,D,1992,6,1,2,3,10,1286
Adam Gaudette,OTT,F,1996,6,1,2,3,4,557
Jake Sanderson,OTT,D,2002,6,1,2,3,9,1578
Jared McCann,SEA,F,1996,8,1,2,3,22,871
Jean-Gabriel Pageau,NYI,F,1992,10,1,2,3,14,1033
Colton Sissons,NSH,F,1993,10,1,2,3,16,998
Oliver Kylington,CGY,D,1997,12,1,2,3,20,974
Damon Severson,NJD,D,1994,12,1,2,3,12,1112
Garnet Hathaway,TOT,F,1991,13,1,2,3,15,676
Mark Jankowski,TOT,F,1994,13,1,2,3,11,654
Jamie Oleksiak,SEA,D,1992,14,1,2,3,11,1265
Jonas Siegenthaler,NJD,D,1997,14,1,2,3,11,1321
William Borgen,SEA,D,1996,14,1,2,3,10,1060
Eric Robinson,CAR,F,1995,15,1,2,3,23,685
Mathew Dumba,TOT,D,1994,17,1,2,3,31,1216
